Lot Number,Lot Title,Lot Description,Starting Bid,Quantity,Reserve
A1,Styx Original VG,,$2.00,1,$8.00
A2,Original LP VG,,$2.00,1,$8.00
A3,Original LP VG,,$2.00,1,$8.00
A4,Original LP VG,,$2.00,1,$8.00
A5,Original Promo LP VG,,$2.00,1,$8.00
A6,Sealed DVDs,,$2.00,1,$5.00
A7,Sealed DVDs,,$2.00,1,$5.00
A8,Sealed DVDs,,$2.00,1,$5.00
A9,Sealed DVDs,,$2.00,1,$5.00
A10,Sealed DVDs,,$2.00,1,$5.00
A11,Authentic Coin,,$2.00,1,$25.00
A12,Authentic Coin,,$2.00,1,$25.00
A13,Authentic Coin,,$2.00,1,$25.00
A14,Authentic Coin,,$2.00,1,$25.00
A15,Authentic Coin,,$2.00,1,$25.00
A16,Sealed VHS Tape,,$2.00,1,$8.00
A17,Sealed VHS Tape,,$2.00,1,$8.00
A18,Sealed VHS Tape,,$2.00,1,$8.00
A19,Sealed VHS Tape,,$2.00,1,$8.00
A20,Sealed VHS Tape,,$2.00,1,$8.00
A21,Original LP VG,,$2.00,1,$10.00
A22,Original LP VG,,$2.00,1,$10.00
A23,Original LP VG,,$2.00,1,$10.00
A24,Original LP VG,,$2.00,1,$10.00
A25,Original LP VG,,$2.00,1,$10.00
A26,Comic Book,,$2.00,1,$4.00
A27,Comic Book,,$2.00,1,$4.00
A28,Comic Book,,$2.00,1,$4.00
A29,Comic Book,,$2.00,1,$4.00
A30,Comic Book,,$2.00,1,$4.00
A31,Sealed DVDs,,$2.00,1,$5.00
A32,Sealed DVDs,,$2.00,1,$5.00
A33,Sealed DVDs,,$2.00,1,$5.00
A34,Sealed DVDs,,$2.00,1,$5.00
A35,Sealed DVDs,,$2.00,1,$5.00
A36,Authentic Coin,,$2.00,1,$20.00
A37,Authentic Coin,,$2.00,1,$20.00
A38,Authentic Coin,,$2.00,1,$20.00
A39,Authentic Coin,,$2.00,1,$20.00
A40,Authentic Coin,,$2.00,1,$20.00
A41,LP Lot of 4,,$2.00,1,$12.00
A42,LP Lot of 4,,$2.00,1,$12.00
A43,LP Lot of 4,,$2.00,1,$12.00
A44,LP Lot of 4,,$2.00,1,$12.00
A45,LP Lot of 4,,$2.00,1,$12.00
A46,Roll of 50 Indian Head Pennies,,$2.00,1,$50.00
A47,Indian Head Penny,,$2.00,1,$2.00
A48,Indian Head Penny,,$2.00,1,$2.00
A49,Indian Head Penny,,$2.00,1,$2.00
A50,Indian Head Penny,,$2.00,1,$2.00
A51,Sealed DVDs,,$2.00,1,$5.00
A52,Sealed DVDs,,$2.00,1,$5.00
A53,Sealed DVDs,,$2.00,1,$5.00
A54,Sealed DVDs,,$2.00,1,$5.00
A55,Sealed DVDs,,$2.00,1,$5.00
A56,Comic Book,,$2.00,1,$10.00
A57,Comic Book,,$2.00,1,$10.00
A58,Comic Book,,$2.00,1,$10.00
A59,Comic Book,,$2.00,1,$10.00
A60,Comic Book,,$2.00,1,$10.00
A61,Sealed VHS Tape,,$2.00,1,$8.00
A62,Sealed VHS Tape,,$2.00,1,$8.00
A63,Sealed VHS Tape,,$2.00,1,$8.00
A64,Sealed VHS Tape,,$2.00,1,$8.00
A65,Sealed VHS Tape,,$2.00,1,$8.00
A66,Authentic Coin,,$2.00,1,$25.00
A67,Authentic Coin,,$2.00,1,$25.00
A68,Authentic Coin,,$2.00,1,$25.00
A69,Authentic Coin,,$2.00,1,$25.00
A70,Authentic Coin,,$2.00,1,$25.00
A71,Framed Signed 2 LP lot,,$2.00,1,$20.00
A72,2 LP Lot/1 sealed,,$2.00,1,$12.00
A73,Original LP VG,,$2.00,1,$8.00
A74,Original LP VG,,$2.00,1,$8.00
A75,Original LP VG,,$2.00,1,$8.00
A76,Full Season DVD,,$2.00,1,$8.00
A77,Full Season DVD,,$2.00,1,$8.00
A78,Full Season DVD,,$2.00,1,$8.00
A79,Full Season DVD,,$2.00,1,$8.00
A80,Full Season DVD,,$2.00,1,$8.00
A81,Original LP VG,,$2.00,1,$10.00
A82,Original LP VG,,$2.00,1,$10.00
A83,Original LP VG,,$2.00,1,$10.00
A84,Original LP VG,,$2.00,1,$10.00
A85,Original LP VG,,$2.00,1,$10.00
A86,Sealed DVDs,,$2.00,1,$5.00
A87,Sealed DVDs,,$2.00,1,$5.00
A88,Sealed DVDs,,$2.00,1,$5.00
A89,Sealed DVDs,,$2.00,1,$5.00
A90,Sealed DVDs,,$2.00,1,$5.00
A91,Comic Book Lot,,$2.00,1,$10.00
A92,Comic Book Lot,,$2.00,1,$10.00
A93,Comic Book Lot,,$2.00,1,$10.00
A94,Comic Book Lot,,$2.00,1,$10.00
A95,Comic Book Lot,,$2.00,1,$10.00
A96,Disney Classic Black Diamond VHS,,$2.00,1,$10.00
A97,Disney Classic Black Diamond VHS,,$2.00,1,$10.00
A98,Disney Classic Black Diamond VHS,,$2.00,1,$10.00
A99,Banned Copy Artwork VHS,,$2.00,1,$50.00
A100,Disney Classic Black Diamond VHS,,$2.00,1,$10.00
